Names,Fe/H,distance,SpType,Age,OneTempT1,OneTempLumL1,TwoTempT1,TwoTempL1,TwoTempT2,TwoTempL2,TotalFracLum,Ref,Observatory
HD141378$^{r}$,-0.59,53.2,A5IV/V,478,...,...,347,1.60E-05,69,5.10E-05,6.70E-05,1,Spitzer
HD141521,-0.19,130.84,G8IV,16,500,1.40E-04,...,...,...,...,1.40E-04,1,Spitzer
HD141569$^{g}$,...,111.61,A2V,5,110,1.12E-02,...,...,...,...,1.12E-02,5,IRAS
HD141943$^{r}$,-0.35,60.14,G2,30,...,...,197,5.70E-05,60,1.10E-04,1.67E-04,1,Spitzer
HD142091$^{pr}$,-0.22,29.99,K1IV,2500,60,5.00E-05,...,...,...,...,5.00E-05,22,Herschel
HD142139,-1.15,69.58,A1IV/V,550,...,...,451,2.50E-05,124,2.10E-05,4.60E-05,1,Spitzer
HD142446$^{r}$,-0.55,135.61,F3V,16,...,...,258,1.50E-04,63,5.20E-04,6.70E-04,1,Spitzer
HD142908,-0.58,42.06,F2IV/V,1430,...,...,167,4.20E-06,66,4.30E-06,8.50E-06,1,Spitzer
HD142926,-1.31,165.49,B9,78,222,8.67E-05,...,...,...,...,8.67E-05,30,Spitzer
HD143538,-0.42,129.99,F0V,16,164,5.20E-05,...,...,...,...,5.20E-05,1,Spitzer
HD143675$^{r}$,-0.58,135.7,A5IV/V,16,...,...,374,1.80E-04,127,4.10E-04,5.90E-04,1,Spitzer
HD143811,-0.35,136.86,F5V,11,100,1.10E-04,...,...,...,...,1.10E-04,1,Spitzer
HD143894,...,53.49,A3V,530,...,...,499,7.70E-06,72,1.10E-05,1.87E-05,1,Spitzer
HD143939,...,142.19,B9,16,...,...,426,1.50E-05,152,1.20E-05,2.70E-05,1,Spitzer
HD144587,-0.82,141.35,A9V,11,...,...,393,1.70E-04,152,9.30E-05,2.63E-04,1,Spitzer
HD144713,-1.47,151.48,F3/5V,11,...,...,451,9.20E-05,51,6.30E-05,1.55E-04,1,Spitzer
HD144729,-0.9,161.19,F0V,11,372,1.20E-04,...,...,...,...,1.20E-04,1,Spitzer
HD144981,...,149.12,A0V,11,...,...,350,1.20E-04,118,2.10E-05,1.41E-04,1,Spitzer
HD145229,-0.4,33.78,G0,3730,...,...,142,2.10E-05,48,7.80E-05,9.90E-05,1,Spitzer
HD145263,-0.72,141.92,F2V,10,290,1.00E-03,...,...,...,...,1.00E-03," 3, 60 ",WISE
HD145357A,-0.34,131.06,A5V,16,...,...,313,7.80E-05,97,2.50E-05,1.03E-04,1,Spitzer
HD145554,...,137.03,B9V,11,...,...,319,1.40E-04,109,3.70E-05,1.77E-04,1,Spitzer
HD145560$^{r}$,-0.18,121.23,F5V,16,...,...,112,1.20E-03,63,1.40E-03,2.60E-03,1,Spitzer
HD145631,...,137.4,B9V,11,238,5.40E-05,...,...,...,...,5.40E-05,1,Spitzer
HD145689$^{pg}$,-0.21,54.99,A3V,40,...,...,341,3.80E-05,60,1.10E-05,4.90E-05,1,Spitzer
HD145880,-1,123.44,B9.5V,16,...,...,274,1.60E-04,75,2.90E-04,4.50E-04,1,Spitzer
HD145964$^{g}$,-1.29,112.97,B9V,11,...,...,499,8.90E-06,75,6.10E-06,1.50E-05,1,Spitzer
HD145972,-0.3,126.3,F0V,16,...,...,347,1.80E-04,118,1.00E-04,2.80E-04,1,Spitzer
HD146181$^{r}$,-0.49,127.52,F6V,16,...,...,200,1.70E-04,81,1.90E-03,2.07E-03,1,Spitzer
HD146606,-1,134.65,A0V,11,...,...,344,7.60E-05,130,4.40E-05,1.20E-04,1,Spitzer
HD146624,-1.24,41.29,A1V,12,155,1.40E-05,...,...,...,...,1.40E-05,1,Spitzer
HD146897$^{gr}$,-0.76,132.19,F2/3V,11,...,...,304,3.00E-04,94,5.30E-03,5.60E-03,1,Spitzer
HD147010,...,130.73,B9II/III,11,...,...,185,7.30E-05,72,5.90E-05,1.32E-04,1,Spitzer
HD147137,-0.74,143.47,A9V,11,...,...,237,5.20E-05,115,1.10E-04,1.62E-04,1,Spitzer
HD147594,-0.15,135.19,G3IV,11,...,...,356,1.80E-04,78,1.10E-04,2.90E-04,1,Spitzer
HD148657,-0.99,179.72,A0V,16,...,...,417,1.10E-04,109,2.50E-04,3.60E-04,1,Spitzer
HD149630,-0.61,92.11,B9V,700,80,2.57E-05,...,...,...,...,2.57E-05," 7,61 ",IRAS
HD150378,...,101.34,B9V,200,...,...,499,1.10E-05,106,2.20E-05,3.30E-05,1,Spitzer
HD150682,-0.58,43.14,F3V,1700,61,9.40E-06,...,...,...,...,9.40E-06,1,Spitzer
HD150697,...,111.78,F3V,1290,...,...,499,9.10E-05,97,1.20E-04,2.11E-04,1,Spitzer
HD150706$^{p}$,-0.3,28.18,G0,240,54,3.30E-05,...,...,...,...,3.30E-05,1,Spitzer
HD151044,-0.44,29.3,F8V,3890,...,...,499,7.80E-05,60,5.40E-05,1.32E-04,1,Spitzer
HD151109,-1.17,174.48,B9IV/V,16,...,...,237,5.50E-05,91,5.80E-05,1.13E-04,1,Spitzer
HD151376,-0.45,118.44,F2/3V,11,...,...,292,8.70E-05,100,1.40E-04,2.27E-04,1,Spitzer
HD151613,...,26.79,F2V,1790,82,4.50E-08,...,...,...,...,4.50E-08,1,Spitzer
HD151900,-0.9,55.85,F3V,2270,476,2.60E-05,...,...,...,...,2.60E-05,1,Spitzer
HD152598,-0.59,29.76,F0V,270,...,...,499,5.00E-05,130,1.90E-05,6.90E-05,1,Spitzer
HD153053$^{r}$,-0.56,52.68,A5IV/V,1025,...,...,84,3.50E-05,45,1.30E-05,4.80E-05,1,Spitzer
HD154145,...,104.99,A3V,300,52,2.14E-04,...,...,...,...,2.14E-04," 7,61 ",IRAS
HD154577,-0.34,13.73,K2.5V,4800,67,1.30E-05,...,...,...,...,1.30E-05,1,Spitzer
HD156623$^{gr}$,...,108.33,A0V,10,212,5.50E-03,...,...,...,...,5.50E-03,40,WISE
HD157728,-1.41,42.72,A7V,534,...,...,365,4.20E-05,100,2.50E-04,2.92E-04,1,Spitzer
HD158352$^{g}$,-0.97,63.81,A8V,890,...,...,146,9.30E-06,54,3.30E-05,4.23E-05,1,Spitzer
HD158460,-0.82,98.16,A1V,361,...,...,402,2.80E-05,81,3.80E-06,3.18E-05,1,Spitzer
HD158633,-0.05,12.79,K0,5900,61,2.40E-05,...,...,...,...,2.40E-05,1,Spitzer
HD159082,-0.91,147.9,B9.5V,197,...,...,499,2.70E-05,94,3.00E-05,5.70E-05,1,Spitzer
HD159139,-1.34,83.38,A1V,645,...,...,478,2.70E-05,69,8.40E-05,1.11E-04,1,Spitzer
HD159170,-0.28,46.81,A5V,659,...,...,499,3.80E-05,139,1.90E-05,5.70E-05,1,Spitzer
HD159492$^{r}$,-0.59,41.01,A5IV/V,562,...,...,173,8.90E-05,54,2.00E-05,1.09E-04,1,Spitzer
HD160032,-0.82,20.96,F4V,2400,70,3.20E-05,...,...,...,...,3.20E-05,36,Spitzer
HD161868$^{r}$,...,31.52,A1V,184,...,...,213,1.40E-05,78,4.90E-05,6.30E-05,1,Spitzer
HD161897,-0.21,29.98,K0,2000,22,1.74E-04,...,...,...,...,1.74E-04,37,Spitzer
HD162917,-0.55,31,F4IV/V,1210,...,...,499,2.30E-05,63,4.20E-05,6.50E-05,1,Spitzer
HD164249$^{p}$,-0.64,49.3,F6V,12,...,...,100,2.50E-04,57,4.70E-04,7.20E-04,1,Spitzer
HD165459,-0.14,91.07,A1V,5,85,4.66E-05,...,...,...,...,4.66E-05,24,Spitzer
HD165908$^{r}$,-1.14,15.77,F6V,7200,45,1.10E-05,...,...,...,...,1.10E-05," 20,25 ",Herschel
HD166191,-0.18,101.18,F3/5V,10,760,6.00E-02,...,...,...,...,6.00E-02,3,WISE
HD168746$^{p}$,0.04,41.69,G5V,10780,...,...,408,4.90E-04,39,2.80E-03,3.29E-03,1,Spitzer
HD169022,...,43.94,B9IV,132,...,...,499,7.20E-06,133,1.70E-06,8.90E-06,1,Spitzer
HD169666,-0.61,52.84,F2V,1640,...,...,484,7.90E-05,164,1.40E-04,2.19E-04,1,Spitzer
HD170773$^{r}$,-0.43,36.93,F5V,970,...,...,499,3.90E-05,42,2.80E-04,3.19E-04,1,Spitzer
HD172167$^{r}$,...,7.68,A0V,220,76,1.77E-05,...,...,...,...,1.77E-05," 7,61 ",IRAS
HD172555$^{gr}$,...,28.79,A7V,12,269,6.18E-04,...,...,...,...,6.18E-04," 7,61 ",IRAS
HD173608,-0.64,48.89,A7V,739,30,1.60E-06,...,...,...,...,1.60E-06,1,Spitzer
HD173667,-0.58,19.35,F5.5IV/V,3400,30,1.80E-06,...,...,...,...,1.80E-06,22,Herschel
HD174429$^{p}$,-0.82,47.25,G9IV,12,...,...,460,6.10E-05,39,2.30E-05,8.40E-05,1,Spitzer
HD175742,...,21.33,K0V,51,110,5.37E-05,...,...,...,...,5.37E-05,14,Spitzer
HD176638,-1.17,59.21,B9.5V,200,116,8.99E-05,...,...,...,...,8.99E-05," 7,61 ",IRAS
HD177171,-0.43,58.32,F6V,30,...,...,347,2.50E-05,54,3.20E-06,2.82E-05,1,Spitzer
HD177724,...,25.46,A0IV/V,83,170,7.30E-06,...,...,...,...,7.30E-06,43,Spitzer
HD178253,...,38.43,A2V,254,...,...,307,2.20E-05,100,6.10E-06,2.81E-05,1,Spitzer
HD180134,-0.58,45.5,F7V,2880,...,...,499,1.70E-05,75,6.20E-06,2.32E-05,1,Spitzer
HD181296$^{pgr}$,-1.49,48.54,A0V,12,...,...,277,1.10E-04,115,1.30E-04,2.40E-04,1,Spitzer
HD181327$^{gr}$,-0.24,47.78,F6V,12,...,...,94,1.20E-03,60,8.30E-04,2.03E-03,1,Spitzer
HD181869$^{r}$,0.45,55.74,B8V,177,454,2.00E-06,...,...,...,...,2.00E-06,1,Spitzer
HD182681$^{r}$,-1.5,70.69,B8.5V,50,88,1.71E-04,...,...,...,...,1.71E-04," 7,61 ",IRAS
HD182919$^{g}$,-0.94,72.13,A0V,198,...,...,295,2.20E-05,100,1.20E-05,3.40E-05,1,Spitzer
HD183216,-0.26,35.73,G2V,1700,79,2.90E-05,...,...,...,...,2.90E-05,1,Spitzer
HD183324$^{gr}$,-1.33,60.37,A0IV,140,...,...,481,1.20E-05,88,9.50E-06,2.15E-05,1,Spitzer
HD184930,0.59,176.45,B5III,112,479,2.40E-06,...,...,...,...,2.40E-06,1,Spitzer
HD186219,-0.32,42.43,A4IV,580,114,4.90E-06,...,...,...,...,4.90E-06,44,Herschel
HD187897,-0.22,32.18,G5,4500,...,...,499,1.70E-05,54,5.90E-05,7.60E-05,1,Spitzer
HD188228$^{r}$,-0.34,32.22,A0V,40,...,...,185,2.00E-06,72,3.30E-06,5.30E-06,1,Spitzer
HD190470,-0.01,22.11,K3V,880,73,5.70E-05,...,...,...,...,5.70E-05,1,Spitzer
HD191089$^{r}$,-0.7,50.11,F5V,12,...,...,100,9.90E-04,33,1.00E-04,1.09E-03,1,Spitzer
HD191174,-1.33,82,A3V,355,...,...,356,4.80E-05,81,1.80E-05,6.60E-05,1,Spitzer
HD191692,0.12,87.8,B9.5III,263,500,4.30E-06,...,...,...,...,4.30E-06,1,Spitzer
HD192263$^{p}$,-0.18,19.63,K1/2V,570,46,4.34E-05,...,...,...,...,4.34E-05," 10,50 ",Spitzer
HD192425$^{r}$,-0.81,47.83,A1V,408,...,...,268,3.40E-05,66,2.00E-05,5.40E-05,1,Spitzer
HD192758,-0.68,66.5,F0V,830,...,...,164,3.80E-05,54,4.10E-04,4.48E-04,1,Spitzer
HD192895,-0.51,72.2,F2,1200,500,3.40E-05,...,...,...,...,3.40E-05,1,Spitzer
HD193571,-0.08,68.35,A0V,171,...,...,499,4.60E-06,78,2.10E-05,2.56E-05,1,Spitzer
HD195627$^{r}$,-0.78,28.07,F0V,1175,...,...,164,1.20E-05,51,5.90E-05,7.10E-05,1,Spitzer
HD196524,...,30.93,F5IV,1412,500,2.10E-05,...,...,...,...,2.10E-05,1,Spitzer
HD196544,-1.33,60.07,A1IV,30,...,...,240,1.80E-05,81,2.00E-05,3.80E-05,1,Spitzer
HD196982,-0.06,10.7,M4.5V,12,120,5.75E-05,...,...,...,...,5.75E-05,14,Spitzer
HD197481$^{pr}$,...,9.71,M1V,12,60,3.99E-04,...,...,...,...,3.99E-04," 7,61 ",IRAS
HD197890,...,51.02,K3V,26,81,1.26E-04,...,...,...,...,1.26E-04,14,Spitzer
HD198160,...,73.53,A3IV,600,79,1.98E-05,...,...,...,...,1.98E-05," 28,24 ",Herschel
HD198308,...,152.8,K1II/III,600,96,3.30E-06,...,...,...,...,3.30E-06,44,Herschel
HD199260,-0.46,21.1,F6V,300,...,...,81,1.60E-06,69,1.20E-05,1.36E-05,1,Spitzer
HD199475,-0.16,82.08,A2V,200,52,1.56E-04,...,...,...,...,1.56E-04," 5,61 ",IRAS
HD199532,-0.38,45.09,F6,990,100,5.90E-06,...,...,...,...,5.90E-06,1,Spitzer
HD200565,-0.32,81.46,G5V,9150,30,2.90E-04,...,...,...,...,2.90E-04,1,Spitzer
HD201219,0.01,37.81,G5,3000,...,...,249,3.00E-05,45,7.90E-05,1.09E-04,1,Spitzer
HD202206$^{p}$,0.05,45.58,G6V,570,...,...,216,2.20E-05,57,6.30E-05,8.50E-05,1,Spitzer
HD202917$^{r}$,-0.18,46.71,G7V,30,...,...,289,8.30E-05,75,2.00E-04,2.83E-04,1,Spitzer
HD203562,-0.23,98.38,A3V,600,68,6.86E-05,...,...,...,...,6.86E-05," 5,61 ",IRAS
HD204277,-0.45,33.06,F8V,2460,109,1.20E-05,...,...,...,...,1.20E-05,1,Spitzer
HD205536,-0.48,22.23,G9V,500,55,2.35E-04,...,...,...,...,2.35E-04," 7,61 ",IRAS
HD205674,-0.84,55.74,F3/5IV,840,...,...,277,2.50E-05,54,2.00E-04,2.25E-04,1,Spitzer
HD205811,-1.5,86.4,A2V,274,...,...,466,1.50E-05,133,1.20E-05,2.70E-05,1,Spitzer
HD206860$^{p}$,-0.43,18.13,G0V,200,76,9.10E-06,...,...,...,...,9.10E-06,1,Spitzer
HD206893$^{pr}$,-0.82,40.77,F5V,860,...,...,499,3.40E-05,48,1.50E-04,1.84E-04,1,Spitzer
HD207129$^{r}$,-0.28,15.56,G2V,2100,...,...,69,1.60E-05,30,6.20E-05,7.80E-05,1,Spitzer
HD207889,-0.49,51.09,F6V,850,357,2.60E-05,...,...,...,...,2.60E-05,1,Spitzer
HD209253,-0.62,31.44,F6.5V,950,...,...,255,2.10E-05,57,4.30E-05,6.40E-05,1,Spitzer
HD210277$^{p}$,-0.35,21.34,G8V,6900,22,5.40E-06,...,...,...,...,5.40E-06,47,Herschel
HD211336,-0.96,26.21,F0V,1063,500,1.90E-05,...,...,...,...,1.90E-05,1,Spitzer
HD212265,-0.51,64.95,F5,2860,500,6.50E-05,...,...,...,...,6.50E-05,1,Spitzer
HD212695,-0.74,48.32,F3V,1300,48,2.60E-05,...,...,...,...,2.60E-05,1,Spitzer
HD213398,-1.07,43.78,A1V,180,120,1.20E-05,...,...,...,...,1.20E-05,44,Herschel
HD213429,...,25.52,F8V,4380,...,...,499,1.30E-05,30,3.30E-06,1.63E-05,1,Spitzer
HD213617,-1.04,53.39,F1V,930,...,...,161,4.30E-06,54,6.10E-05,6.53E-05,1,Spitzer
HD213845,-0.24,23.02,F7V,900,75,3.50E-06,...,...,...,...,3.50E-06,58,Herschel
HD213941,-0.76,31.57,G8V,8950,320,2.00E-05,...,...,...,...,2.00E-05,1,Spitzer
HD215766,...,109.5,B9V,201,...,...,280,2.00E-05,112,1.60E-05,3.60E-05,1,Spitzer
HD216435$^{p}$,-0.19,33.12,G0V,4800,61,1.50E-05,...,...,...,...,1.50E-05,1,Spitzer
HD216956$^{gr}$,...,7.7,A4V,220,57,5.72E-05,...,...,...,...,5.72E-05," 7,61 ",IRAS
HD217792,-0.65,29.08,F1V,900,...,...,499,1.80E-05,63,2.60E-06,2.06E-05,1,Spitzer
HD218340,-0.15,56.13,G3V,45,42,1.30E-04,...,...,...,...,1.30E-04,1,Spitzer
HD218396$^{pr}$,-1.56,40.88,F0,30,...,...,155,2.80E-05,33,1.10E-04,1.38E-04,1,Spitzer
HD218511,...,14.84,K6V,1260,31,3.71E-05,...,...,...,...,3.71E-05,49,Herschel
HD219482,-0.43,20.44,F6V,300,...,...,423,1.90E-05,78,2.00E-05,3.90E-05,1,Spitzer
HD219498,-0.28,57.12,G5,300,...,...,112,8.80E-05,30,7.30E-05,1.61E-04,1,Spitzer
HD219623,-0.24,20.61,F8V,3010,...,...,353,2.70E-05,78,1.10E-05,3.80E-05,1,Spitzer
HD220825,0.29,49.22,A2V,70,...,...,338,1.20E-05,170,1.70E-05,2.90E-05,1,Spitzer
HD221756,...,76.65,A1V,130,88,1.50E-05,...,...,...,...,1.50E-05," 28,24 ",Herschel
HD221853,-0.58,65.89,F0,100,...,...,88,5.90E-04,30,9.10E-05,6.81E-04,1,Spitzer
HD222368,-0.81,13.71,F7V,6220,51,1.10E-06,...,...,...,...,1.10E-06," 20,49 ",Herschel
HD223352,-1.19,42.14,A0V,70,...,...,390,2.20E-05,130,1.30E-05,3.50E-05,1,Spitzer
HD224930,...,12.32,G5V,3960,25,2.16E-05,...,...,...,...,2.16E-05,35,Herschel
HD225200,-0.73,128.8,A1V,322,...,...,307,3.20E-05,60,4.20E-05,7.40E-05,1,Spitzer
HD274255,-0.02,19.16,M0V,1000,115,3.00E-05,...,...,...,...,3.00E-05,1,Spitzer
HD282963,-0.15,135.25,F8,115,125,9.90E-05,...,...,...,...,9.90E-05,1,Spitzer
HD287787,-0.32,410.91,A2,10,161,1.70E-04,...,...,...,...,1.70E-04,1,Spitzer
HD287850,...,363.33,A5,10,201,1.50E-04,...,...,...,...,1.50E-04,1,Spitzer
HD287854,-0.31,347.11,F0,10,140,3.60E-04,...,...,...,...,3.60E-04,1,Spitzer
HD287861,-0.03,343.38,A0,10,...,...,390,6.80E-05,127,2.70E-04,3.38E-04,1,Spitzer
HD290521,-0.21,323.58,A3,5,...,...,164,2.30E-04,94,3.10E-04,5.40E-04,1,Spitzer
HD290540,0.75,415.75,A2,5,152,9.40E-05,...,...,...,...,9.40E-05,1,Spitzer
HD290598,-0.88,423.66,A0,5,500,5.00E-05,...,...,...,...,5.00E-05,1,Spitzer
HD290609,-0.95,847.46,B8,5,...,...,316,1.50E-04,100,2.00E-04,3.50E-04,1,Spitzer
HD358623,0.06,45.83,K7,12,88,2.00E-04,...,...,...,...,2.00E-04,14,Spitzer
1RXS J051111.1+281353,...,139.52,K0V,5,500,4.00E-04,...,...,...,...,4.00E-04,1,Spitzer
2MASS J03292624+4812117,-0.27,169.57,F9V,60,170,1.10E-04,...,...,...,...,1.10E-04,1,Spitzer
2MASS J03445639+2425574,-0.33,135.19,F8,115,410,2.00E-04,...,...,...,...,2.00E-04,1,Spitzer
ASAS J120900-5120.8,-0.53,121.59,K3IV,15,450,1.10E-01,...,...,...,...,1.10E-01,3,WISE
BD+20 307,-0.47,117.32,G0,1000,358,3.00E-02,...,...,...,...,3.00E-02,7,IRAS
BD+23 551,-0.32,139,F9V,115,119,1.80E-04,...,...,...,...,1.80E-04,1,Spitzer
BD+30 397,-0.47,40.94,K7V,12,65,7.90E-04,...,...,...,...,7.90E-04,7,Spitzer
BD+40 45,-0.48,14.69,K7,900,45,9.99E-05,...,...,...,...,9.99E-05,10,Spitzer
BD+66 582,-1.01,16.5,K5,300,91,6.90E-06,...,...,...,...,6.90E-06,1,Spitzer
BD-12 243,-0.17,35.3,G9V,70,...,...,344,2.80E-05,63,4.90E-05,7.70E-05,1,Spitzer
BD-13 6464,...,28.57,K5V,13,93,1.23E-04,...,...,...,...,1.23E-04,14,Spitzer
BD-21 4369,-0.25,144.91,K2IV,11,198,2.00E-04,...,...,...,...,2.00E-04,1,Spitzer
CD-27 10866,-0.36,149.96,K0IV,11,...,...,332,1.70E-04,84,6.20E-04,7.90E-04,1,Spitzer
CD-40 8031,-0.43,97.85,K0IV,16,...,...,466,1.20E-04,109,1.80E-04,3.00E-04,1,Spitzer
CD-46 9327,-0.37,119.87,G9V,16,469,2.80E-04,...,...,...,...,2.80E-04,1,Spitzer
CD-48 3547,...,384.25,A1V,30,...,...,408,1.10E-04,94,1.30E-04,2.40E-04,1,Spitzer
CD-52 2472,-0.3,152.17,G2,50,...,...,499,1.70E-04,39,5.50E-04,7.20E-04,1,Spitzer
CD-52 5008,-0.4,139.95,G2IV,17,...,...,499,5.10E-05,109,1.60E-04,2.11E-04,1,Spitzer
CD-54 4621,-0.55,112.49,K0V,17,...,...,499,1.60E-04,100,2.50E-04,4.10E-04,1,Spitzer
CD-65 149,-0.96,85.98,K0IV,40,500,8.80E-05,...,...,...,...,8.80E-05,1,Spitzer
Cl Melotte 22 250,-0.53,146.18,G2,115,51,5.30E-04,...,...,...,...,5.30E-04,1,Spitzer
CPD-52 6110,-0.34,117.44,K3V,17,...,...,499,2.00E-04,69,4.20E-04,6.20E-04,1,Spitzer
TYC 6191-552-1,-0.59,138.21,K5,11,161,2.60E-04,...,...,...,...,2.60E-04,1,Spitzer
V* AI Lep,-0.61,72.16,G2V,63,67,4.90E-05,...,...,...,...,4.90E-05,1,Spitzer
V* EV Lac,...,5.05,M4.0V,500,22,9.63E-03,...,...,...,...,9.63E-03,32,IRAS
V* RZ Psc,-0.09,186.36,G8V,30,500,4.90E-02,...,...,...,...,4.90E-02,3,WISE
V* TW Hya,-0.51,60.14,K6V,8,140,2.17E-01,...,...,...,...,2.17E-01,5,IRAS
V* V1005 Ori,-0.78,24.4,M0V,50,43,1.30E-03,...,...,...,...,1.30E-03,59,IRAS
V* V421 Car,-0.88,411.34,A8V,150,192,3.40E-05,...,...,...,...,3.40E-05,1,Spitzer
V* V488 Per,-0.03,173.5,K0,85,820,1.60E-01,...,...,...,...,1.60E-01,3,WISE
HD142$^{p}$,-0.51,26.18,F7V,5400,...,8.00E-06,...,...,...,...,8.00E-06,38,Spitzer
HD544,...,402.51,K1/2III,240,...,...,...,...,...,...,...,25,Spitzer
HD2884,-0.15,43.79,B9.5Va,...,90,...,...,...,...,...,...,9,Spitzer
HD3044,-0.01,154.3,G5V,...,...,...,300,...,70,...,1.11E-03,11,WISE
HD4148,-0.58,100.47,F3V,1550,...,...,...,...,...,...,...,25,Spitzer
HD4150,...,75.53,A0IV,325,...,2.24E-06,...,...,...,...,2.24E-06,24,Spitzer
HD4378,...,15.82,K5,...,...,...,...,...,...,...,...,8,Spitzer
HD4881,...,334.95,B9.5V,...,...,...,...,...,...,...,...,26,IRAS
HD5839,...,273.97,B9,...,106,1.55E-03,...,...,...,...,1.55E-03,12,AKARI
HD6028,-0.28,214.54,A3V,...,...,...,...,...,...,...,...,26,IRAS
HD6582,...,7.68,G5V,4898,...,...,...,...,...,...,...,23,Spitzer
HD7151,-0.61,150.19,F6V,...,...,...,...,...,...,...,...,18,IRAS
HD7193,-0.59,34.86,F5,590,...,...,...,...,...,...,...,29,Spitzer
HD9186,-1.37,332.23,B9,...,...,...,...,...,...,...,...,19,AKARI
HD10800,-0.56,27.02,G1V,...,...,...,...,...,...,...,...,18,IRAS
HD11241,0.68,371.14,B1.5V,...,...,...,...,...,...,...,...,26,IRAS
