Names,Fe/H,distance,SpType,Age,OneTempT1,OneTempLumL1,TwoTempT1,TwoTempL1,TwoTempT2,TwoTempL2,TotalFracLum,Ref,Observatory
HD11507,...,11.06,M0V,...,135,...,...,...,...,...,...,9,Spitzer
HD12216,-0.79,48.17,A2V,320,...,...,...,...,...,...,...,17,Spitzer
HD13689,-0.33,188.33,A7,...,200,3.51E-04,...,...,...,...,3.51E-04,11,WISE
HD14082,-0.48,39.56,F5V,230,...,...,...,...,...,...,...,29,Spitzer
HD16157,-0.98,11.55,K7V,...,...,...,...,...,...,...,...,21,Spitzer
HD16485,...,336.07,B9V,...,...,...,...,...,...,...,...,19,AKARI
HD16739,-0.11,23.93,F9V,6761,...,...,...,...,...,...,...,23,Spitzer
HD16908,...,189.12,B3V,...,...,1.80E-05,...,...,...,...,1.80E-05,33,IRAS
HD16920,-0.32,49.42,F6V,...,260,2.90E-05,...,...,...,...,2.90E-05,42,Spitzer
HD17081,...,120.48,B7IV,...,...,...,...,...,...,...,...,26,IRAS
HD17206,-0.76,14.28,F7V,300,...,...,...,...,...,...,...,21,Spitzer
HD17706,...,703.28,B5IV,...,...,...,110,...,41,...,1.05E-02,12,AKARI
HD18143,0.35,23.49,K2IV,...,...,...,...,...,...,...,...,23,Spitzer
HD18537,0.56,149.81,B7V,...,81,4.71E-05,...,...,...,...,4.71E-05,12,AKARI
HD19257,-0.69,74.11,A5,...,235,9.59E-04,...,...,...,...,9.59E-04,11,WISE
HD20010,-0.56,14.24,F6V,2700,...,...,...,...,...,...,...,21,Spitzer
HD21362,-1.02,172.83,B6V,80,...,...,...,...,...,...,...,17,Spitzer
HD21377,...,233.6,A0,...,69,8.43E-04,...,...,...,...,8.43E-04,12,AKARI
HD21563,-0.68,191.62,A3/5V,...,...,...,...,...,...,...,...,18,IRAS
HD21856,-0.27,415.54,B1V,...,...,...,...,...,...,...,...,26,IRAS
HD22001,-0.86,21.78,F3IV/V,2800,...,...,...,...,...,...,...,25,Spitzer
HD22627,-0.39,142.73,G0,115,...,1.50E-05,...,...,...,...,1.50E-05,6,Spitzer
HD22680,-0.23,138.05,G,115,...,2.40E-04,...,...,...,...,2.40E-04,6,Spitzer
HD23061,-0.42,137.54,F5V,115,...,1.10E-05,...,...,...,...,1.10E-05,6,Spitzer
HD23156,-0.57,134.9,A7V,...,205,5.18E-04,...,...,...,...,5.18E-04,11,WISE
HD23312,-0.29,140.15,F5,115,...,2.50E-05,...,...,...,...,2.50E-05,6,Spitzer
HD23324,-0.95,138.46,B8V,...,...,...,...,...,...,...,...,26,IRAS
HD23362,0.05,436.03,K4III,...,...,7.90E-04,...,...,...,...,7.90E-04,33,IRAS
HD23432,...,136.89,B8V,...,...,...,...,...,...,...,...,26,IRAS
HD23680,-0.31,222.39,G5,...,...,3.00E-03,...,...,...,...,3.00E-03,33,IRAS
HD23732,-1.76,135.89,F4V,115,...,9.50E-05,...,...,...,...,9.50E-05,6,Spitzer
HD23777,...,317.66,B9,...,79,1.61E-03,...,...,...,...,1.61E-03,12,AKARI
HD23861,...,366.99,A0,...,86,1.14E-02,...,...,...,...,1.14E-02,12,AKARI
HD23862,...,138.09,B8V,125,...,3.14E-04,...,...,...,...,3.14E-04,24,Spitzer
HD23923,-0.76,134,B8V,125,...,...,...,...,...,...,...,17,Spitzer
HD23935,-0.29,138.01,F8,115,...,3.00E-05,...,...,...,...,3.00E-05,6,Spitzer
HD23975,-0.49,138.13,G0,115,...,3.20E-05,...,...,...,...,3.20E-05,6,Spitzer
HD25490,...,35.86,A0.5V,250,...,...,...,...,...,...,...,17,Spitzer
HD26676,...,144.2,B8V,...,...,...,...,...,...,...,...,26,IRAS
HD26912,0.01,155.13,B3IV,...,...,...,...,...,...,...,...,19,AKARI
HD27026,-1,172.92,B9V,...,65,3.51E-04,...,...,...,...,3.51E-04,11,WISE
HD27459,-0.5,47.42,F0IV/V,...,...,9.50E-05,...,...,...,...,9.50E-05,4,ISO
HD27636,...,165.61,A2,...,75,5.48E-04,...,...,...,...,5.48E-04,12,AKARI
HD27638,...,89.26,B9V,...,...,...,200,...,35,...,4.29E-04,11,WISE
HD28001,...,339.06,A4V,...,...,...,...,...,...,...,...,18,IRAS
HD28149,-1.3,125.96,B7V,...,...,...,...,...,...,...,...,26,IRAS
HD28226,-0.55,49.61,A,625,...,3.51E-05,...,...,...,...,3.51E-05,24,Spitzer
HD28266,...,824.2,K2III,625,...,3.40E-04,...,...,...,...,3.40E-04,51,Spitzer
HD28375,-1.24,156.23,B5III/IV,...,119,2.96E-04,...,...,...,...,2.96E-04,12,AKARI
HD28527,-0.54,45.07,A6IV,625,...,6.27E-06,...,...,...,...,6.27E-06,24,Spitzer
HD28978,...,135.31,A2IV,...,...,...,...,...,...,...,...,26,IRAS
HD29391$^{p}$,-0.72,29.91,F0IV,...,...,2.30E-06,...,...,...,...,2.30E-06,52,Herschel
HD29733,...,438.56,A0,...,70,5.17E-03,...,...,...,...,5.17E-03,12,AKARI
HD29875,-0.57,20.17,F2V,1500,...,...,...,...,...,...,...,8,Spitzer
HD30051,-0.46,69.1,F2/3IV/V,...,40,2.81E-05,...,...,...,...,2.81E-05,53,Herschel
HD30727,-0.66,173.92,A8/9V,...,...,...,170,...,30,...,2.11E-03,11,WISE
HD31648,...,156.22,A5V,...,...,...,...,...,...,...,...,26,IRAS
HD31925,...,40.47,F5,...,...,...,...,...,...,...,...,18,IRAS
HD32509,-1.12,169.03,A2,...,...,...,...,...,...,...,...,19,AKARI
HD32722,-0.16,141.58,F8V,...,...,...,220,...,50,...,5.38E-03,11,WISE
HD33002,-1.13,208.29,B9,...,...,...,107,...,45,...,3.48E-03,12,AKARI
HD33254,-0.38,53.27,A2,625,...,6.07E-06,...,...,...,...,6.07E-06,24,Spitzer
HD33564$^{p}$,-0.25,20.79,F7V,2000,...,...,...,...,...,...,...,21,Spitzer
HD33949,...,223.21,B7V,120,...,...,...,...,...,...,...,21,Spitzer
HD34233,0.46,312.63,B5V,...,...,...,...,...,...,...,...,26,IRAS
HD34282,...,308.61,B9.5V,...,...,3.90E-01,...,...,...,...,3.90E-01,33,IRAS
HD34700,-0.67,350.48,G0IV,...,...,1.50E-01,...,...,...,...,1.50E-01,33,IRAS
HD34751,0,20.42,K6V,...,...,...,...,...,...,...,...,8,Spitzer
HD34890,...,386.26,B9IV/V,...,...,...,...,...,...,...,...,19,AKARI
HD35187,...,114.16,A2,...,...,1.40E-01,...,...,...,...,1.40E-01,33,IRAS
HD35532,-1.05,336.3,B2V,...,...,...,...,...,...,...,...,26,IRAS
HD35671,...,197.47,B5V,...,...,...,...,...,...,...,...,26,IRAS
HD35996,-0.49,92.1,F3/5IV/V,...,135,1.00E-04,...,...,...,...,1.00E-04,15,Herschel
HD36267,0.21,92.85,B5IV,1,...,...,...,...,...,...,...,21,Spitzer
HD36695,0.75,441.42,B1V,...,...,...,...,...,...,...,...,26,IRAS
HD37394,-0.29,12.27,K1,851,...,...,...,...,...,...,...,23,Spitzer
HD38385,-0.6,53.03,F3V,...,...,...,...,...,...,...,...,18,IRAS
HD38402,...,343.91,B8,...,85,7.69E-04,...,...,...,...,7.69E-04,12,AKARI
HD38905,-0.04,138.98,F6/7V,...,...,...,...,...,...,...,...,18,IRAS
HD39014,-0.94,45.87,A7V,590,...,...,...,...,...,...,...,21,Spitzer
HD39415,...,351.21,F5V,...,...,...,...,...,...,...,...,19,AKARI
HD39944,-0.59,143.73,G1V,...,...,...,...,...,...,...,...,18,IRAS
HD40932,...,47.51,A1V,670,...,...,...,...,...,...,...,21,Spitzer
HD40979$^{p}$,-0.31,33.98,F8,2700,...,1.20E-05,...,...,...,...,1.20E-05,13,Spitzer
HD41511,...,279.78,A3,...,...,...,...,...,...,...,...,26,IRAS
HD41742,-0.62,27.95,F5.5V,...,...,...,...,...,...,...,...,18,IRAS
HD41814,...,361.77,B3V,17,...,...,...,...,...,...,...,21,Spitzer
HD42111,...,177.53,B9V,0,...,1.00E-05,...,...,...,...,1.00E-05,55,Spitzer
HD42137,...,369.55,K3/4V,...,...,...,...,...,...,...,...,18,IRAS
HD43162,-0.05,16.7,G6.5V,282,...,1.00E-05,...,...,...,...,1.00E-05,2313,Spitzer
HD43954,...,308.9,A0V,...,...,...,...,...,...,...,...,18,IRAS
HD43955,0.01,285.94,B2/3V,...,...,...,...,...,...,...,...,18,IRAS
HD44627$^{p}$,-0.59,50.14,K1V,...,30,3.60E-05,...,...,...,...,3.60E-05,11,WISE
HD44892,...,191,A9,...,...,...,...,...,...,...,...,19,AKARI
HD46171,-0.6,142.14,F3V,...,...,...,...,...,...,...,...,18,IRAS
HD46375A$^{p}$,0.06,29.52,G9V,10700,...,2.30E-04,...,...,...,...,2.30E-04,13,Spitzer
HD48189,...,21.88,G1/2V,105,...,...,...,...,...,...,...,23,Spitzer
HD48370,-0.39,35.95,K0V,4,41,5.60E-04,...,...,...,...,5.60E-04,15,Herschel
HD48808,...,639.59,B9,...,67,9.86E-04,...,...,...,...,9.86E-04,12,AKARI
HD49336,0.08,462.53,B6V,...,...,...,...,...,...,...,...,18,IRAS
HD49601,...,18.65,K6V,1200,...,1.20E-04,...,...,...,...,1.20E-04,8,Spitzer
HD49662,0.28,162.07,B7IV,...,...,1.10E-03,...,...,...,...,1.10E-03,33,IRAS
HD50499$^{p}$,-0.04,46.3,G0/2V,3320,...,1.30E-05,...,...,...,...,1.30E-05,13,Spitzer
HD50506,0.05,120.73,A3/5III,...,...,...,...,...,...,...,...,19,AKARI
HD52140,...,244.65,B3V,...,...,...,...,...,...,...,...,18,IRAS
HD53376,-0.25,200.9,F3/5V,...,...,...,...,...,...,...,...,18,IRAS
HD53833,-0.66,278.17,A9,...,...,...,...,...,...,...,...,18,IRAS
HD54096,-0.24,191.33,F5V,...,...,...,...,...,...,...,...,18,IRAS
HD56192,-0.83,338.21,B9,...,...,...,...,...,...,...,...,18,IRAS
HD58715,...,49.58,B8V,...,260,1.57E-04,...,...,...,...,1.57E-04,11,WISE
HD59509,...,4780.11,F8,...,93,3.22E-03,...,...,...,...,3.22E-03,12,AKARI
HD59543,-1.29,1013.99,B3IV/V,...,98,7.84E-04,...,...,...,...,7.84E-04,12,AKARI
HD60491,-0.21,23.46,K1V,83,...,1.90E-04,...,...,...,...,1.90E-04,23,Spitzer
HD60842,-0.25,392.96,A2/3V,...,...,...,...,...,...,...,...,18,IRAS
HD60856,0.2,465.72,B5V,100,...,...,...,...,...,...,...,17,Spitzer
HD61712,-0.78,476.05,B7/8V,...,...,...,...,...,...,...,...,18,IRAS
HD61950$^{g}$,...,386.12,B8V,...,...,1.40E-04,...,...,...,...,1.40E-04,18,IRAS
HD62952,-0.1,67.75,F2V,800,...,...,...,...,...,...,...,19,AKARI
HD64145,...,55.44,A5IV,...,...,...,...,...,...,...,...,19,AKARI
HD65372,...,233.26,A3III,...,...,...,...,...,...,...,...,19,AKARI
HD66591,-1.34,153.14,B4V,...,...,...,...,...,...,...,...,18,IRAS
HD67199,-0.14,17.28,K2V,...,...,...,...,...,...,...,...,18,IRAS
HD68114,-0.6,379.65,A0V,25,...,...,...,...,...,...,...,17,Spitzer
HD68115,...,387.49,A0V,25,...,...,...,...,...,...,...,17,Spitzer
HD68294,-0.17,538.01,A0V,25,...,...,...,...,...,...,...,17,Spitzer
HD68456,-0.86,27.59,F6V,1700,...,...,...,...,...,...,...,21,Spitzer
HD68478,...,378.85,B3III/IV,...,...,...,105,...,37,...,5.07E-04,12,AKARI
HD68496,...,396.78,B5/7V,...,82,5.18E-03,...,...,...,...,5.18E-03,12,AKARI
HD68558,-0.13,386.56,A0V,25,...,...,...,...,...,...,...,17,Spitzer
HD69897,-0.59,18.22,F6V,3300,...,...,...,...,...,...,...,19,AKARI
HD71397,-0.32,249.8,F3V,...,...,...,...,...,...,...,...,18,IRAS
HD72106,...,278.55,A0IV,...,194,4.73E-02,...,...,...,...,4.73E-02,12,AKARI
HD73390,-0.55,251.26,B4V,...,...,...,...,...,...,...,...,18,IRAS
HD73526$^{p}$,0.2,96.8,G6V,4800,...,1.70E-04,...,...,...,...,1.70E-04,13,Spitzer
HD74956,...,24.7,A2IV,350,...,...,...,...,...,...,...,21,Spitzer
HD75732$^{p}$,0.28,12.59,K0IV/V,5010,...,...,...,...,...,...,...,57,ISO
HD77175,...,...,K5,1000,...,...,...,...,...,...,...,8,Spitzer
HD77327,...,109.89,A1V,120,...,...,...,...,...,...,...,17,Spitzer
HD78072,-0.37,98.02,F6V,...,...,2.50E-04,...,...,...,...,2.50E-04,55,Spitzer
HD79469,...,36.94,B9.5V,180,...,...,...,...,...,...,...,17,Spitzer
HD80459,...,425.93,B6V,...,...,...,...,...,...,...,...,18,IRAS
HD80951,...,107.53,A1V,...,...,...,...,...,...,...,...,18,IRAS
HD81335,...,675.9,A0III/IV,...,77,3.78E-03,...,...,...,...,3.78E-03,12,AKARI
HD84117,-0.46,14.95,F9V,1900,...,...,...,...,...,...,...,21,Spitzer
HD86836,-0.99,217.77,A3V,...,...,...,350,...,65,...,2.94E-03,11,WISE
HD89125A,...,22.27,F6V,6500,...,1.90E-05,...,...,...,...,1.90E-05,19,AKARI
HD92467,-0.99,157.34,B9.5V,50,...,...,...,...,...,...,...,17,Spitzer
HD93331,-1.3,166.61,B9.5V,...,...,...,...,...,...,...,...,18,IRAS
HD93942,0.11,584.42,A1V,...,...,...,...,...,...,...,...,19,AKARI
HD94893,-0.67,105.95,F0V,...,135,1.06E-03,...,...,...,...,1.06E-03,11,WISE
HD95650,-0.41,11.94,M1.0V,...,150,...,...,...,...,...,...,9,Spitzer
HD97584,-0.25,14.46,K4V,800,...,...,...,...,...,...,...,8,Spitzer
HD97633,...,50.61,A2IV,550,...,7.09E-06,...,...,...,...,7.09E-06,24,Spitzer
HD99022,...,216.42,A3/5,...,...,...,...,...,...,...,...,19,AKARI
HD99046,-0.67,161.61,F0V,...,...,...,...,...,...,...,...,18,IRAS
HD100786,-0.52,178.64,A5V,10,...,...,...,...,...,...,...,18,IRAS
HD101088,...,101.48,F5IV,...,...,...,200,...,40,...,1.54E-04,11,WISE
HD101563,-0.61,43.26,G2III/IV,4800,...,...,...,...,...,...,...,19,AKARI
HD102323,...,632.31,A2IV,...,...,...,...,...,...,...,...,19,AKARI
HD103932,0.02,10.17,K4V,...,...,...,...,...,...,...,...,8,Spitzer
HD104304,-0.18,12.77,G8IV,...,...,...,...,...,...,...,...,8,Spitzer
HD105209,...,331.93,A1V,...,...,...,...,...,...,...,...,19,AKARI
HD105234,-0.77,102.97,A9III/IV,...,295,1.27E-03,...,...,...,...,1.27E-03,11,WISE
HD105686,0.65,98.81,A0V,...,...,...,...,...,...,...,...,18,IRAS
HD106252$^{p}$,-0.26,38.1,G0,...,120,3.70E-05,...,...,...,...,3.70E-05,11,WISE
HD107067,-0.55,95.53,F8,1660,...,1.15E-03,...,...,...,...,1.15E-03," 23,4 ",ISO
HD107439,-0.73,2016.13,B5III,...,...,...,...,...,...,...,...,18,IRAS
HD108102,-0.37,86.25,F8,100,...,5.90E-04,...,...,...,...,5.90E-04," 23,4 ",ISO
HD108382,...,83.76,A4V,500,...,4.23E-06,...,...,...,...,4.23E-06,24,Spitzer
HD108483,0.79,126.26,B2V,...,...,...,...,...,...,...,...,18,IRAS
HD108651,-0.54,71.56,A2,...,...,1.30E-04,...,...,...,...,1.30E-04,4,ISO
HD111161$^{r}$,-0.15,109.37,A3III/IV,...,...,5.50E-04,...,...,...,...,5.50E-04,64,WISE
HD111786,...,62.14,F0V,200,...,2.95E-05,...,...,...,...,2.95E-05,24,Spitzer
HD112060,...,44.63,G9V,...,...,...,...,...,...,...,...,19,AKARI
HD112532,...,119.7,A0V,...,140,8.44E-04,...,...,...,...,8.44E-04,11,WISE
HD113766A,-1.19,108.9,F3/5V,16,...,...,...,...,...,...,...,27,Spitzer
HD114613$^{p}$,...,20.46,G3V,7800,...,...,...,...,...,...,...,29,Spitzer
HD114981,...,655.65,B5V,...,...,...,...,...,...,...,...,18,IRAS
HD116649,...,125.01,A0V,...,170,1.93E-04,...,...,...,...,1.93E-04,11,WISE
HD117360,-1,34.58,F8V,...,...,...,...,...,...,...,...,18,IRAS
HD118938,...,454.32,K0,...,500,3.30E-05,...,...,...,...,3.30E-05,1,Spitzer
HD118978,...,245.3,B9III,...,...,...,...,...,...,...,...,19,AKARI
HD119332,...,23.89,K0IV/V,...,...,7.10E-05,...,...,...,...,7.10E-05,23,Spitzer
HD120095,...,328.97,B9,...,...,...,...,...,...,...,...,18,IRAS
HD120780,-0.75,16.44,K0V,...,...,...,...,...,...,...,...,19,AKARI
HD121847,-0.97,102.04,B8V,...,...,...,...,...,...,...,...,18,IRAS
HD122106,-0.67,86.13,F6V,...,...,...,...,...,...,...,...,23,IRAS
HD122408,...,68.97,A2IV/V,310,...,...,...,...,...,...,...,17,Spitzer
HD123160,...,596.62,K5III,...,...,4.40E-03,...,...,...,...,4.40E-03,33,IRAS
HD123247,-0.16,97.6,B9.5V,...,...,...,...,...,...,...,...,18,IRAS
HD123356,...,1010.49,G1V,...,...,...,...,...,...,...,...,18,IRAS
HD124771,...,197.63,B3V,...,...,...,...,...,...,...,...,26,IRAS
HD128760,-0.24,62.64,F8,...,...,...,...,...,...,...,...,18,IRAS
HD129364,-0.79,179.31,F5V,...,...,...,...,...,...,...,...,18,IRAS
HD130299,0.07,112.55,G5,...,225,6.18E-04,...,...,...,...,6.18E-04,11,WISE
HD130693,...,58.95,G8IV,50,...,5.80E-04,...,...,...,...,5.80E-04,34,IRAS
HD131496$^{p}$,-0.2,132.5,K0,...,70,1.60E-05,...,...,...,...,1.60E-05,11,WISE
HD131607,-0.42,134.06,F5/6V,...,215,5.76E-04,...,...,...,...,5.76E-04,11,WISE
HD131885,-1.49,122.45,A0V,...,...,...,...,...,...,...,...,18,IRAS
HD132052,...,27.51,F2V,...,...,...,...,...,...,...,...,32,WISE
HD132899,0.42,24.57,K4.5V,750,...,...,...,...,...,...,...,8,Spitzer
HD133981,0.5,262.55,B8/9III,...,27,5.97E-04,...,...,...,...,5.97E-04,12,AKARI
HD134060$^{p}$,-0.18,24.03,G0V,9000,...,...,...,...,...,...,...,19,AKARI
HD134319$^{p}$,-0.34,45.74,G5V,500,...,1.60E-04,...,...,...,...,1.60E-04,4,ISO
HD134910,-0.34,142.68,G0,...,115,6.25E-03,...,...,...,...,6.25E-03,11,WISE
HD135344,...,134.94,A0V,...,...,6.40E-01,...,...,...,...,6.40E-01,33,IRAS
HD136202,-0.44,25.13,F8IV,...,...,...,...,...,...,...,...,8,Spitzer
HD137372,-0.21,320.82,G5,...,500,1.30E-04,...,...,...,...,1.30E-04,1,Spitzer
HD137751,-0.25,184.72,F6V,...,...,...,...,...,...,...,...,18,IRAS
HD137759$^{p}$,...,31.03,K2III,1150,...,4.30E-06,...,...,...,...,4.30E-06,13,Spitzer
HD138276,-1,123.24,B9/9.5V,...,150,3.54E-04,...,...,...,...,3.54E-04,11,WISE
HD139365,...,112.49,B2.5V,...,...,...,...,...,...,...,...,18,IRAS
HD139450,-0.41,68.56,G0/1V,...,...,...,...,...,...,...,...,18,IRAS
HD139614,-0.78,133.62,A9V,...,...,...,...,...,...,...,...,18,IRAS
HD139798,...,36.1,F2V,...,...,3.30E-05,...,...,...,...,3.30E-05,4,ISO
HD141004$^{p}$,...,11.92,G0V,...,33,7.60E-07,...,...,...,...,7.60E-07,20,Herschel
HD141133,-0.55,113.44,F2/3V,11,63,1.18E-03,...,...,...,...,1.18E-03,12,AKARI
HD141227,-0.45,146.26,F5V,...,180,1.64E-03,...,...,...,...,1.64E-03,11,WISE
HD141518,-0.49,108.19,F3V,...,250,3.23E-04,...,...,...,...,3.23E-04,11,WISE
HD141891,...,12.38,F1V,674,...,...,...,...,...,...,...,8,Spitzer
HD142096,-1,135.35,B3V,...,...,...,...,...,...,...,...,18,IRAS
HD142105,0.13,113.12,A3V,180,...,...,...,...,...,...,...,17,Spitzer
HD142114,0.22,154.08,B2.5V,...,...,...,...,...,...,...,...,18,IRAS
HD142165,0.74,137.4,B5V,...,...,...,...,...,...,...,...,18,IRAS
HD142184,-0.7,143.06,B2V,...,500,3.80E-04,...,...,...,...,3.80E-04,11,WISE
HD142666,-0.92,146.25,F0V,...,...,3.40E-01,...,...,...,...,3.40E-01,33,IRAS
HD142764,...,868.73,K4/5,...,...,1.70E-03,...,...,...,...,1.70E-03,33,IRAS
HD142860,-0.35,11.25,F6V,1600,...,...,...,...,...,...,...,21,Spitzer
HD143006,-0.62,167.34,G5IV,...,...,5.60E-01,...,...,...,...,5.60E-01,33,IRAS
HD143018,...,179.53,B1V,...,...,...,...,...,...,...,...,18,IRAS
HD144113,-0.22,140.56,A3IV/V,...,185,4.55E-04,...,...,...,...,4.55E-04,11,WISE
HD144432,...,154.84,A9,...,...,4.80E-01,...,...,...,...,4.80E-01,33,IRAS
HD144691,-0.65,126.11,A9V,...,130,1.67E-03,...,...,...,...,1.67E-03,11,WISE
HD145101,-0.82,138.49,A3IV/V,...,160,1.01E-03,...,...,...,...,1.01E-03,11,WISE
HD145482,0.63,147.39,B2V,...,...,...,...,...,...,...,...,18,IRAS
HD145958,0.02,23.58,G9V,...,...,...,...,...,...,...,...,8,Spitzer
HD146055,...,154.12,B9V,...,...,...,...,...,...,...,...,19,AKARI
HD147084,-1.35,269.54,A5II,...,...,...,...,...,...,...,...,39,IRAS
HD147196,...,138.03,B6.5V,...,210,9.36E-04,...,...,...,...,9.36E-04,11,WISE
HD147558,-0.08,122.68,F0V,...,180,4.93E-04,...,...,...,...,4.93E-04,11,WISE
